Track_id, Transition_type_no, Transition_type_name, Time_in_channel_(frame), Time_entered_channel_(frame), Time_left_channel_(frame), 
5253, 1, FR, 5.0, 103006.0, 103011.0, 
5274, 1, FR, 12.0, 103333.0, 103345.0, 
5288, 1, FR, 12.0, 104023.0, 104035.0, 
5307, 1, FR, 19.0, 104200.0, 104219.0, 
5307, 1, FR, 2.0, 104191.0, 104193.0, 
5328, 1, FR, 3.0, 104982.0, 104985.0, 
5351, 1, FR, 123.0, 105178.0, 105301.0, 
5375, 1, FR, 21.0, 105830.0, 105851.0, 
5395, -1, BR, 4.0, 106168.0, 106172.0, 
5395, -1, BR, 3.0, 106156.0, 106159.0, 
5398, 1, FR, 3.0, 106177.0, 106180.0, 
5406, -1, BR, 544.0, 106294.0, 106838.0, 
5411, -1, BR, 7.0, 106376.0, 106383.0, 
5413, -1, BR, 3.0, 106434.0, 106437.0, 
5423, 1, FR, 4.0, 106709.0, 106713.0, 
5423, 1, FR, 2.0, 106700.0, 106702.0, 
5437, 1, FR, 11.0, 106854.0, 106865.0, 
5451, 1, FR, 3.0, 107003.0, 107006.0, 
5459, 1, FR, 10.0, 107105.0, 107115.0, 
5461, 1, FR, 101.0, 107257.0, 107358.0, 
5461, 1, FR, 2.0, 107252.0, 107254.0, 
5461, 1, FR, 118.0, 107125.0, 107243.0, 
5482, 1, FR, 2.0, 107479.0, 107481.0, 
5482, 1, FR, 37.0, 107437.0, 107474.0, 
5494, -2, BT, 854.0, 35020.0, 35874.0, 
5494, -1, BR, 321.0, 34696.0, 35017.0, 
5509, 1, FR, 634.0, 28033.0, 28667.0, 
5512, 1, FR, 56.0, 32365.0, 32421.0, 
5517, 1, FR, 8.0, 22946.0, 22954.0, 
5517, 1, FR, 68.0, 22875.0, 22943.0, 
5524, 1, FR, 4.0, 20759.0, 20763.0, 
5524, 1, FR, 2.0, 20754.0, 20756.0, 
5524, 1, FR, 27.0, 20724.0, 20751.0, 
5525, 1, FR, 10.0, 31502.0, 31512.0, 
5525, 1, FR, 6.0, 31488.0, 31494.0, 
5531, 1, FR, 5.0, 5478.0, 5483.0, 
